UPC,ISRC,Store,Store service,Sales/streams,Gross Royalties (USD)
692531089960,CAGOO2136880,OK.ru,OK.ru,1,0.0003060807864462964647333097
628810560851,QM24S1826608,SoundtrackYourBrand,Streaming,361,0.1810787995298097997514991236
672985722880,CAHQJ2117718,YouTube,Streaming,83533,437.9398302479806440751663209879
672985397491,CAENV2043858,SoundtrackYourBrand,Streaming,2,0.0017196719321989274168713236
672985954885,CAENV2164647,Deezer,Deezer,88,0.1665063570401082578993751316
628810560806,QM24S1832184,IMusica,Streaming,19,0.1972124065973629191660948108
628810561858,QM24S1913190,KKBox,Kkbox,89,0.3587187399118021089614236887
672985545014,CAGOO2036067,BOOM App UMA,BOOM App UMA,118,0.1535489333329474018364052631
,CALVP2025588,ITunes,Apple Music,14220,85.2978612236108219137075683445
692531021106,CAGOO2100165,Resso,Streaming,1,0.0010817187357184807711075983
672985083943,CALVP2062669,Netease,Netease,89467,59.7582213489066189886031552487
692531033765,CAGOO2106771,TikTok,Streaming,4,0.0082063560801748816786343492
,CALVP1934369,ITunes,iTunes Match,270,0.1665304225357402054130288407
628810846559,CALVP1903197,Saavn,Saavn,4400,5.6225836704452614372135470968
672985702912,CAHQJ2106266,Xiami,Xiami,3,0.0003845138572645694464126369
672985382947,CAENV2037872,Pandora,Pandora,3,0.0145762158055098573879538401
672985069411,CALVP2053160,VKontakte,VKontakte,31742,3.0649513490912316659924557157
672985912496,CAENV2139579,QQMusic,Streaming,4,0.0054619971843120705487739603
628810534401,QM24S1831517,Deezer,Deezer,482,1.5570059734250100692385103961
672985850156,CAHQJ2197917,Deezer,Deezer,72,0.3405731931406742673749267768
692531080790,CAGOO2132230,Amazon,Music Premium Service,169,2.7794728202778446273332634744
672985183742,CACWV2018984,Line,Streaming,28,0.2013857389341486146499196474
672985581159,CAGOO2057827,QQMusic,Streaming,183,0.1356883241817447827216118603
628810846559,CALVP1903197,Spotify,Spotify,1268630,3204.0775027252178465140063656246
672985382008,CAENV2037366,Deezer,Deezer,635,2.1167264647017217851213992120
628810909476,,Amazon,Digital Music Store,2,1.3621030095698355045314162359
672985382008,CAENV2037366,Saavn,Saavn,392,0.7134242420660334229937389882
628810909476,CALVP1934369,GooglePlay,Google Play Music Streaming,631,3.6281570859867590890562673694
672985740426,CAHQJ2128297,YouTube,Streaming,300,1.7453756018076524673988605365
672985882980,CAENV2119873,Resso,Streaming,338,0.1637362008643348626141989478
628810699889,CAHQJ1930439,TikTok,Streaming,248,0.4416018723730753623489931442
672985105386,CALVP2073121,Rhapsody,Streaming,1,0.0062274865639285545972948772
672985637429,CAGOO2091608,BOOM App UMA,BOOM App UMA,14,0.0168366337785312657565546670
628810561513,QM24S1915972,Yandex,Streaming,14433,19.6322957744811258839194435329
672985929517,CAENV2149514,KKBox,Kkbox,42,0.1297998421435104041890893401
672985397491,CAENV2043858,Anghami,Streaming,26,0.0126607956306562031248635677
672985105386,CALVP2073121,VKontakte,VKontakte,1324,0.0997989355725517295137720470
672985491366,CAGOO2006319,Spotify,Spotify,181995,508.5064143605012936972150720461
672985740426,CAHQJ2128297,Boomplay,Streaming,1,0.0002901701527389495853717059
,CAGOO2175180,ITunes,iTunes Store,1,0.7000000000000000000000000000
692531064653,CAGOO2122549,Amazon,Music Premium Service,13,0.0432161146306394216735570955
672985829381,CAHQJ2184062,Netease,Netease,129,0.1251730483818449724461047595
672985912496,CAENV2139579,Amazon,Music Premium Service,9,0.0906196306305669654041018871
672985453845,CAENV2080948,Resso,Streaming,66,0.0559480179823665438709593679
,QM24S1910617,ITunes,iTunes Match,64,0.0211065628553300827628829913
628810965274,CALVP2002252,YouTube,Content ID,556,1.9036481017683544475892754200
,CALVP1951456,ITunes,iTunes Match,32,0.0191982665048173475538116890
628810629831,CAGOO1993534,VKontakte,VKontakte,16642,0.7354146729722110771058047255
628810534425,QM24S1825227,Xiami,Xiami,2,0.0002409043506026244457195538
628810560875,QM24S1904071,KKBox,Kkbox,133,0.5804686263907260469989204254
672985102477,CALVP2073075,AWA,Awa,5,0.0476825065843058709839961546
672985954885,CAHQJ2165143,Amazon,Music Premium Service,6,0.0511108206691068809675268005
628810561544,QM24S1920887,Tidal,Tidal,10,0.0516481963668814171439975963
672985598324,CAGOO2068468,OK.ru,OK.ru,1,0.0003137937391352496183519262
628810560851,QM24S1826608,Spotify,Spotify,430641,1371.9938621678266247623612203623
628810560813,QM24S1906868,MediaNet,Streaming,64,0.1449504509112116834882073072
672985508989,CAGOO2015895,YouTube,Content ID,324,0.6728424458377040820059458964
628810846559,CALVP1903197,GooglePlay,Google Play Music Streaming,2043,10.7756847078036167049825212418
672985183742,CACWV2018984,VKontakte,VKontakte,25031,2.3614966843591347977750678247
692531021106,CAGOO2100165,QQMusic,Streaming,6,0.0033690928713267916831825894
,CAHQJ2197917,ITunes,Apple Music,943,5.7440696893188656991371231552
